FilePath,freq_center_signal,bandwidth_signal,pwr2,pwr4,pwr6,pwr8,pwr12,pwr16,env,freq,modulation
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-4236070.0,505281.0,349754,349594,349233,349758,349237,349359,349537,349607,0.0
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-3698220.0,564093.0,349423,349540,349493,349677,349138,349077,349537,348865,0.0
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-3169860.0,488839.0,349304,349702,349507,349326,349159,349066,349537,349757,0.0
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-2640230.0,566623.0,349836,349571,349061,349767,349021,349360,349537,349419,0.0
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-2111870.0,483779.0,349735,349535,349556,349340,349089,349185,349537,349589,0.0
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-1580660.0,574844.0,349543,349376,349056,349576,349306,349138,349537,349533,0.0
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-694682.0,1195850.0,349631,349552,349092,349540,349438,349147,349537,348945,0.0
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",532157.0,1237590.0,349678,349700,349418,349707,349023,349306,349537,349381,0.0
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",1401380.0,478088.0,349433,349435,349259,349307,349092,349169,349537,349921,0.0
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",1939540.0,586859.0,349720,349471,349589,349588,348994,349303,349537,349413,0.0
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",3293810.0,2092580.0,349630,349486,349639,349624,349072,349358,349537,349837,0.0
